Codes,Names,Lone parent household (%),BAME (%),English as first language (%),Social rented (%),Private rented (%),% Highest level of qualification: Level 2 qualifications,Unemployment rate,Median Household Income (£)
E01033698,Hackney 021F,17,54.5,82.9,67.9,21.2,11.7,9.7,25630
E01033699,Hackney 021G,7,43,81.5,22.2,53.2,8.4,10.1,34740
E01033700,Hackney 021H,7.5,39,83.6,22,53.8,6.1,8.5,38434
E01033707,Hackney 021I,10.1,46,79.2,40.6,49,9.4,7.2,29485
E01001836,Hackney 022A,16,36.9,88.4,51.3,22.5,10.5,9.4,35849
E01001840,Hackney 022B,19.7,54.7,84.5,66.9,11,11.2,11.3,26438
E01001841,Hackney 022C,12.6,26.6,93,48.6,14.5,9.8,9.7,36262
E01001844,Hackney 022D,11.1,35.4,87.8,42.7,24.4,8.6,7.4,40816
E01001845,Hackney 022E,23.2,52.9,87.2,80.7,9.1,12.5,14.2,25452
E01001837,Hackney 023B,8,23.7,93.2,28.7,26.8,8.2,5.4,50099
E01001839,Hackney 023C,14.3,39.1,82.7,33.5,42.7,8.8,8.4,32109
E01001842,Hackney 023D,23.6,57.2,84.8,64.2,14.4,13.5,11.3,28214
E01001843,Hackney 023E,21.1,45,92.2,50.6,14.7,10.7,10.5,39538
E01033704,Hackney 023F,8.4,31.3,85.7,20.6,42.9,7.9,4.6,42930
E01033712,Hackney 023G,16.6,39.7,83.8,42.7,34,7.7,9.7,30447
E01001772,Hackney 024A,20,64,80,76.9,9.2,14.3,15.3,23322
E01001774,Hackney 024B,15.8,43.2,84.1,41.8,33.7,10.7,8.5,30013
E01001775,Hackney 024C,17.1,57.6,78.9,65.2,15,12.6,13.0,24186
E01001815,Hackney 024D,17.5,56.2,85.4,64.5,13.9,11.4,13.7,26138
E01001820,Hackney 024E,22.2,54.1,86.6,63.8,12.9,12.3,12.6,27096
E01001821,Hackney 024F,17.2,54.2,86.3,71.4,11.8,12.2,12.8,24488
E01001752,Hackney 025A,13.5,39.9,86.5,33.5,29.3,7.6,6.5,39603
E01001753,Hackney 025B,20.4,63.7,77.4,74.5,12.7,11.5,17.2,24817
E01001754,Hackney 025C,13.8,42.8,84.4,42.8,34.4,10.5,9.4,29628
E01001755,Hackney 025D,20.9,52.3,79.8,63.4,17.3,11.6,11.5,26469
E01001773,Hackney 025E,16.2,51.9,81.9,54,26.9,11.4,10.5,27817
E01001776,Hackney 025F,14,53.4,80.4,68.8,14.7,10.0,13.3,23861
E01001779,Hackney 026A,12.5,50.3,78.3,52.5,20.7,8.9,8.9,29262
E01001781,Hackney 026B,21.9,46.5,78.4,69.2,19.2,10.5,17.3,22474
E01001782,Hackney 026C,12.1,35.1,82.7,33,31.9,9.1,7.6,39996
E01001783,Hackney 026D,22.6,60,75.6,73.5,13.9,12.1,16.5,23965
E01001777,Hackney 027B,15.9,45.2,74.8,45.3,38,10.2,8.2,27870
E01001780,Hackney 027D,14.4,48.1,83.3,61.1,20.5,8.9,11.7,28197
E01001784,Hackney 027E,16.6,47.8,79.5,58,22.6,9.9,9.7,26494
E01033706,Hackney 027F,7.6,28.8,78.7,17.5,62,5.6,5.7,47826
E01033708,Hackney 027G,1.3,24.7,79.7,4.8,72.2,4.8,3.6,54621
E01033709,Hackney 027H,13.1,44.3,78.7,57.2,28.9,9.8,5.5,33398
E01033711,Hackney 027I,6.2,36.3,84,25.9,48.1,6.9,4.7,39439
E01001798,Hackney 028A,20,65.9,78.4,49.6,28.2,10.5,15.5,24865
E01001828,Hackney 028B,24.5,63.2,78.3,58.2,18.8,13.6,15.9,25351
E01033702,Hackney 028C,14.4,51.9,74.8,40.4,31.5,9.9,11.5,27441
E01033705,Hackney 028D,21,64.9,80.7,53.5,27.3,13.2,12.2,27548
E01033710,Hackney 028E,18,48.7,73.7,20.3,61.1,10.3,10.6,28780
E01001722,Hackney 029A,16.3,54.3,80,53,25.7,11.3,11.1,27825
E01001728,Hackney 029B,16.4,42.2,79.6,43.9,35.4,13.6,12.2,29256
E01001822,Hackney 029C,20.5,58,72.9,55.5,26.9,11.3,15.0,24485
E01001827,Hackney 029D,20.9,48,80,58.1,23,13.9,14.4,26187
E01001874,Hammersmith and Fulham 001A,13.7,42.2,82,54.9,22.6,10.9,7.6,29289
E01001875,Hammersmith and Fulham 001B,25.8,47.2,79.1,53.6,17.1,11.4,11.8,25708
E01001876,Hammersmith and Fulham 001C,17.7,59.3,64.4,73.7,9.7,10.3,9.8,25948
E01001877,Hammersmith and Fulham 001D,14.6,54.9,75.8,30.5,29.5,12.5,9.6,28378
E01001878,Hammersmith and Fulham 001E,28.9,46.3,83,60.8,13.6,11.5,12.1,26366
E01001955,Hammersmith and Fulham 002A,27.3,51.7,79.5,60.8,15.1,11.6,13.6,24143
E01001957,Hammersmith and Fulham 002B,27.4,64.9,72.9,69.3,15,13.0,13.0,19457
E01001958,Hammersmith and Fulham 002C,30,68.4,71.8,78.8,10.3,12.7,13.4,18356
E01001961,Hammersmith and Fulham 002D,27,66.6,71.5,70,14.8,12.1,14.4,18995
E01001954,Hammersmith and Fulham 003A,16.3,38.6,85.7,41.3,19,9.5,6.9,32544
E01001956,Hammersmith and Fulham 003B,17.9,33.8,84.7,38.1,18.2,10.1,8.6,34811
E01001959,Hammersmith and Fulham 003C,20.2,49.8,84.7,47.3,12.4,12.5,11.6,28200
E01001960,Hammersmith and Fulham 003D,10.9,32.8,88.7,21.2,39.1,7.4,4.5,37966
E01001943,Hammersmith and Fulham 004A,9.8,39.1,80.6,30.7,41.3,8.5,7.7,32654
E01001944,Hammersmith and Fulham 004B,16.9,61.3,75.8,74.7,12.3,12.1,16.7,21313
E01001945,Hammersmith and Fulham 004C,11.8,31.4,83.2,32.1,29,9.9,5.5,35591
E01001946,Hammersmith and Fulham 004D,13,35.5,84.2,38.3,31.6,8.5,7.1,33811
E01001862,Hammersmith and Fulham 005A,12.9,42.3,82.8,46.6,25.4,9.7,8.6,31544
E01001940,Hammersmith and Fulham 005B,13.2,43.2,81.1,38.4,36.6,8.4,8.6,30269
E01001941,Hammersmith and Fulham 005C,7.9,34.5,82.3,20.6,51.9,5.6,6.1,35110
